gene_id	ERR883767_1	ERR883768_1	ERR883769_1	ERR883770_1	ERR883771_1	ERR883772_1
LOC100647565	1030	855	1011	664	384	483
LOC100647801	382	374	471	409	288	333
LOC100647327	1809	1638	2005	1782	1511	1276
LOC100648044	6152	5404	4623	977	588	654
LOC100648156	396	349	372	596	366	419
LOC100652151	659	730	769	880	516	803
LOC100648665	330	300	380	363	215	252
LOC100648270	783	770	896	814	457	528
LOC100648544	2434	2151	2808	2678	1953	2236
LOC100648778	792	747	692	527	370	431
LOC105666067	36	41	20	15	9	17
LOC100648892	2653	3102	3830	6944	4558	8117
LOC110120346	6	2	4	1	2	9
LOC100649014	535	452	509	500	379	306
LOC100649246	337	280	291	308	185	277
LOC100649366	1014	1050	1255	1270	799	1073
LOC100649487	517	486	543	693	732	586
LOC100649682	1463	1274	1031	27	17	32
LOC105666086	90	86	72	293	241	322
LOC100652269	16	11	13	14	5	14
LOC100649795	166	184	190	865	538	785
LOC105666106	0	0	0	0	0	0
LOC105666107	0	0	0	0	0	0
LOC100642436	146	144	92	102	57	102
LOC105666090	118	96	230	389	122	348
LOC100642554	9	13	15	147	95	171
LOC100646370	732	650	667	780	475	587
LOC100646493	948	886	733	214	148	215
LOC100649913	132	110	133	193	139	257
LOC100646731	1092	934	1128	423	322	422
LOC100646613	3160	2795	3560	2138	1590	1773
LOC100646853	112	116	109	109	94	103
LOC100647133	554	563	592	1653	856	1692
LOC110119255	0	1	0	3	2	1
LOC100647251	4636	5570	8067	12201	8404	7837
LOC110119162	125	136	129	266	207	139
LOC100647368	996	731	810	1205	3042	556
LOC100647566	6447	5855	11132	11885	8292	7647
LOC100647924	3798	3520	4843	4037	8019	3634
LOC100648545	218	185	345	484	452	557
LOC100650025	211	206	190	41	18	23
LOC100647687	588	689	722	659	481	519
LOC100648350	19031	15906	21098	16280	13272	13285
LOC105666120	30708	25307	34765	29501	25152	29440
LOC100648234	2218	1869	1423	141	103	106
LOC100647802	928	847	840	491	396	369
LOC100648045	1142	1004	974	645	385	649
LOC100649163	129	104	214	89	66	99
LOC100649045	832	822	977	716	540	535
LOC100648926	1034	920	1062	1186	877	915
LOC100650142	741	708	734	551	343	409
LOC110119637	73	70	78	252	145	192
LOC110119634	0	0	0	1	0	1
LOC100649612	7	18	19	50	25	33
LOC100649796	25	27	43	17	9	25
LOC110119378	13	6	12	14	9	10
LOC100650513	383	355	435	454	300	382
LOC105666170	0	0	0	0	1	0
LOC100644389	186	198	180	170	138	185
LOC100644281	101	103	162	339	226	335
LOC100650873	867	858	579	201	90	153
LOC100643963	1003	940	938	707	558	715
LOC100650755	2398	3079	3340	2663	2396	1882
LOC100643518	38	33	44	157	119	151
LOC100643231	272	229	141	71	43	86
LOC100643435	1	4	2	12	6	14
LOC100643030	382	315	346	249	176	191
LOC100642916	17	18	7	2	3	0
LOC100642393	5	9	7	53	28	79
LOC100642796	7	6	8	65	26	73
LOC100642677	4	10	12	66	36	87
LOC100642275	3	2	4	10	5	10
LOC105665626	0	0	0	0	0	0
LOC100652305	1011	986	797	1542	944	1424
LOC100652103	460	364	455	402	282	460
LOC100651866	813	783	1343	4693	2536	2446
LOC100651981	86	92	54	80	61	118
LOC100651789	39	36	57	60	33	15
LOC100651670	0	0	1	23	12	20
LOC100651551	136	154	253	1561	735	1901
LOC105666147	9	12	17	12	10	10
LOC110119427	0	0	0	1	3	0
LOC100651432	4	2	2	9	3	12
LOC105666143	22	31	22	9	7	10
LOC100651188	957	897	787	389	286	286
LOC100651312	624	500	567	407	322	285
LOC100644874	2528	2535	2721	4568	3332	4792
TRNAM-CAU	0	0	0	0	0	0
LOC100650993	0	1	2	8	5	12
LOC100644748	27	19	47	33	5	13
LOC100644510	2	5	3	2	5	5
LOC100643840	892	925	1005	1027	561	705
LOC100643722	369	385	377	691	464	573
LOC110119190	0	0	0	19	10	42
LOC100645113	553	435	445	348	181	237
LOC100645233	32	31	20	48	21	50
LOC105666275	3	2	1	0	0	0
LOC110119193	8	11	9	17	11	3
LOC100645583	218	181	199	255	193	125
LOC100645478	11	12	21	24	12	5
LOC100645820	1205	986	965	647	525	578
LOC100645701	530	499	531	433	289	362
LOC100642394	489	457	376	494	319	364
LOC100646168	1427	1366	1360	978	713	666
LOC100642511	1441	1156	1485	1361	714	1426
LOC100646052	546	463	577	602	445	415
LOC100646283	72	87	120	152	154	143
LOC100646402	22	33	27	444	214	328
LOC100646614	191	84	292	466	230	384
LOC100646732	1226	1156	1425	1249	845	991
LOC100646854	432	395	464	472	335	404
LOC100647054	438	351	478	473	340	504
LOC100647369	6487	4785	6441	4475	4083	3416
LOC100647172	597	552	570	525	275	474
LOC100647490	571	618	727	650	371	531
LOC110119166	21	25	21	140	74	145
LOC100642627	925	942	1153	1376	1032	1177
LOC100647604	656	632	651	209	116	141
LOC100647717	30	17	28	28	14	13
LOC100647835	4544	2953	3934	3350	2884	1586
LOC105666208	73	48	55	62	40	37
LOC100647956	96	105	139	534	343	465
LOC100642747	338	212	280	52	36	68
LOC100648083	5302	4123	8840	161	148	92
LOC100648197	833	806	863	777	457	485
LOC105666217	174	123	171	153	167	234
LOC100648312	42	31	39	58	33	61
LOC110119204	9	2	6	1	0	0
LOC100648425	152	163	83	46	48	91
LOC105666278	0	0	0	0	0	0
LOC105666283	0	0	0	0	0	0
LOC100648546	33	26	16	2	0	0
LOC100648667	28	22	17	6	3	5
LOC100649127	5490	5115	5007	1851	914	1298
LOC100643232	4	5	2	0	0	1
LOC100643353	3	3	2	65	12	19
LOC100648893	0	0	2	12	15	17
LOC100649015	946	924	1075	965	743	676
LOC100649367	613	448	422	68	38	76
LOC100649488	16	19	29	15	7	15
LOC110119310	1	0	1	0	0	0
LOC110119215	0	0	0	0	0	0
LOC100649613	465	438	343	63	24	67
LOC110120172	115	119	70	78	52	154
LOC100649797	1	4	1	9	4	17
LOC105666241	486	421	282	7	2	4
LOC100649914	38	27	20	41	46	34
LOC100643964	178	173	128	49	56	46
LOC110119557	3	1	0	0	2	5
LOC100650233	244	141	310	213	257	147
LOC110119558	10	7	9	29	12	64
LOC100650026	1199	1159	1327	1383	969	1124
LOC100650354	10412	9169	13556	38821	26172	32909
LOC105666246	73	71	119	38	88	67
LOC100650472	2801	2743	2882	2311	1459	1633
